"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 20 19:35:37 AMT 2024","Mon May 20 19:35:41 AMT 2024","4306","firefox","checkoutView.spec.js","","","","Verify that the Finish Button redirects to the Complete Page",""
"passed","Mon May 20 19:36:12 AMT 2024","Mon May 20 19:36:17 AMT 2024","4614","webkit","checkoutView.spec.js","","","","Verify That the Cancel Button Returns to the Product Page",""
"passed","Mon May 20 19:35:55 AMT 2024","Mon May 20 19:35:57 AMT 2024","2798","firefox","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async",""
"passed","Mon May 20 19:35:14 AMT 2024","Mon May 20 19:35:16 AMT 2024","2503","chromium","checkoutView.spec.js","","","","Verify that the Finish Button redirects to the Complete Page",""
"passed","Mon May 20 19:35:16 AMT 2024","Mon May 20 19:35:18 AMT 2024","1929","chromium","checkoutView.spec.js","","","","Verify that Total is the sum of Tax and Item Total",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:20 AMT 2024","1390","chromium","loginPage.spec.js","","","","Authorization with an empty username and password",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6703","chromium","checkoutView.spec.js","","","","Verify by clicking item title button returns one item page",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:19 AMT 2024","1453","chromium","loginPage.spec.js","","","","Authorization with empty username",""
"passed","Mon May 20 19:35:14 AMT 2024","Mon May 20 19:35:17 AMT 2024","2756","chromium","checkoutView.spec.js","","","","Verify That the ""Item Total"" is the sum of all chosen item prices",""
"passed","Mon May 20 19:35:26 AMT 2024","Mon May 20 19:35:37 AMT 2024","11031","firefox","checkoutView.spec.js","","","","Verify that item title, description and the price are the same as in product page",""
"passed","Mon May 20 19:36:23 AMT 2024","Mon May 20 19:36:26 AMT 2024","2937","webkit","sortingBar.spec.js","","","","Verify Sorting in Z to A Order is working as expected, async",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6514","chromium","checkoutView.spec.js","","","","Verify That the Cancel Button Returns to the Product Page",""
"passed","Mon May 20 19:35:54 AMT 2024","Mon May 20 19:35:59 AMT 2024","4178","firefox","sortingBar.spec.js","","","","Verify Sorting in A to Z Order is working as expected, async",""
"passed","Mon May 20 19:35:17 AMT 2024","Mon May 20 19:35:18 AMT 2024","1594","chromium","loginPage.spec.js","","","","Authorization with valid username and invalid password",""
"passed","Mon May 20 19:36:25 AMT 2024","Mon May 20 19:36:28 AMT 2024","2868","webkit","sortingBar.spec.js","","","","Verify Sorting in Hight to Low Order is working as expected, async",""
"passed","Mon May 20 19:35:59 AMT 2024","Mon May 20 19:36:01 AMT 2024","2759","firefox","sortingBar.spec.js","","","","Verify Sorting in Hight to Low Order is working as expected, async",""
